place	appointment	free	day	daypart	hour	organisation	address	telephone	email	website
Brussels	no	no	Friday	morning	8h30 - 11h	S-Clinic	Rue des Alexiens 13, 1000 Brussels			
Brussels	no	no	Friday	afternoon	13h30 - 15h30	S-Clinic	Rue des Alexiens 13, 1000 Brussels			
Brussels	no	no	Monday	afternoon	15u30 - 17h30	UCL Saint-Luc	Hippocrateslaan 10, 1200 Brussels	02 764 19 02		
Brussels	no	no	Wednesday	morning	11h - 13h	UCL Saint-Luc	Hippocrateslaan 10, 1200 Brussels	02 764 19 02		
Brussels	no	yes	Monday	afternoon	14h - 16h	CPF Yser Aimer Jeunes	Rue Saint-Jean Népomucène 28, 1000 Brusselss	02 511 32 20		
Brussels	no	yes	Tuesday	afternoon	17h - 19h	CPF Jette	Rue Léon Théodor 108, 1090 Brussels	02 426 06 27		
Brussels	no	yes	Monday	afternoon	14h - 16h	CPF Aimer Jeunes	Rue Saint-Jean Népomucène 28, 1000 Brusselss	02 511 32 20		http://aimer-jeunes.be/?Aimer-Jeunes-a-Madrid
Brussels	no	yes	Monday	morning	9h - 12h	CPF Marolles	Rue de la Roue 21, 1000 Brusselss	02 426 06 27		
Brussels	no	yes	Tuesday	morning	9h - 12h	CPF Marolles	Rue de la Roue 21, 1000 Brusselss	02 426 06 27		
Brussels	no	yes	Wednesday	morning	9h - 12h	CPF Marolles	Rue de la Roue 21, 1000 Brusselss	02 426 06 27		
Brussels	no	yes	Thursday	morning	9h - 12h	CPF Marolles	Rue de la Roue 21, 1000 Brusselss	02 426 06 27		
Brussels	no	yes	Friday	morning	9h - 12h	CPF Marolles	Rue de la Roue 21, 1000 Brusselss	02 426 06 27		
Brussels	no	yes	Monday	afternoon	12h30 - 17h30	CPF Marolles	Rue de la Roue 21, 1000 Brusselss	02 426 06 27		
Brussels	no	yes	Tuesday	afternoon	12h30 - 17h30	CPF Marolles	Rue de la Roue 21, 1000 Brusselss	02 426 06 27		
Brussels	no	yes	Wednesday	afternoon	12h30 - 17h30	CPF Marolles	Rue de la Roue 21, 1000 Brusselss	02 426 06 27		
Brussels	no	yes	Thursday	afternoon	12h30 - 18h30	CPF Marolles	Rue de la Roue 21, 1000 Brusselss	02 426 06 27		
Brussels	no	yes	Friday	afternoon	12h30 - 17h30	CPF Marolles	Rue de la Roue 21, 1000 Brusselss	02 426 06 27		
Brussels	no	yes	Thursday	afternoon	18/7: 17h - 19h	CPF Watermael-Boitsfort	Avenue Léopold Wiener 64, 1170 Brussels	02 673 39 34		
Brussels	no	yes	Thursday	afternoon	19/9: 17h - 19h	CPF Watermael-Boitsfort	Avenue Léopold Wiener 64, 1170 Brussels	02 673 39 34		
Brussels	no	yes	Thursday	afternoon	18/7: 17h - 19h	CPF Watermael-Boitsfort	Avenue Léopold Wiener 64, 1170 Brussels	02 673 39 34		
Brussels	no	yes	Thursday	afternoon	17/10: 17h - 19h	CPF Watermael-Boitsfort	Avenue Léopold Wiener 64, 1170 Brussels	02 673 39 34		
Brussels	no	yes	Thursday	afternoon	21/11: 17h - 19h	CPF Watermael-Boitsfort	Avenue Léopold Wiener 64, 1170 Brussels	02 673 39 34		
Brussels	no	yes	Thursday	afternoon	19/12: 17h - 19h	CPF Watermael-Boitsfort	Avenue Léopold Wiener 64, 1170 Brussels	02 673 39 34		
Brussels	no	yes	Tuesday	afternoon	9/7: 16h - 18h	CPF Uccle	Rue de Stalle 24, 1180 Brussels	02 376 10 00		
Brussels	no	yes	Tuesday	afternoon	13/8: 16h - 18h	CPF Uccle	Rue de Stalle 24, 1180 Brussels	02 376 10 00		
Brussels	no	yes	Tuesday	afternoon	10/9: 16h - 18h	CPF Uccle	Rue de Stalle 24, 1180 Brussels	02 376 10 00		
Brussels	no	yes	Tuesday	afternoon	8/10: 16h - 18h	CPF Uccle	Rue de Stalle 24, 1180 Brussels	02 376 10 00		
Brussels	no	yes	Tuesday	afternoon	12/11: 16h - 18h	CPF Uccle	Rue de Stalle 24, 1180 Brussels	02 376 10 00		
Brussels	no	yes	Tuesday	afternoon	10/12: 16h - 18h	CPF Uccle	Rue de Stalle 24, 1180 Brussels	02 376 10 00		
Antwerp	yes	no	Tuesday	morning	9h - 12h	Help Centre	Kronenburgstraat 43, 2000 Antwerp	03 216 02 88	helpcenter@itg.be	https://www.itg.be/E/helpcenter
Antwerp	yes	no	Wednesday	morning	9h - 12h	Help Centre	Kronenburgstraat 43, 2000 Antwerp	03 216 02 88	helpcenter@itg.be	https://www.itg.be/E/helpcenter
Antwerp	no	no	Monday	afternoon	14h - 16h	Help Centre	Kronenburgstraat 43, 2000 Antwerp	03 216 02 88	helpcenter@itg.be	https://www.itg.be/E/helpcenter
Antwerp	no	no	Thursday	afternoon	14h - 16h	Help Centre	Kronenburgstraat 43, 2000 Antwerp	03 216 02 88	helpcenter@itg.be	https://www.itg.be/E/helpcenter
Antwerp	no	no	Friday	afternoon	14h - 16h	Help Centre	Kronenburgstraat 43, 2000 Antwerp	03 216 02 88	helpcenter@itg.be	https://www.itg.be/E/helpcenter
Limburg	no	no	Monday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Limburg	no	no	Monday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Limburg	no	no	Tuesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Limburg	no	no	Tuesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Limburg	no	no	Wednesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Limburg	no	no	Wednesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Limburg	no	no	Thursday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Limburg	no	no	Thursday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Limburg	no	no	Friday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Limburg	no	no	Friday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Antwerp	no	no	Monday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Antwerp	no	no	Monday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Antwerp	no	no	Tuesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Antwerp	no	no	Tuesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Antwerp	no	no	Wednesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Antwerp	no	no	Wednesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Antwerp	no	no	Thursday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Antwerp	no	no	Thursday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Antwerp	no	no	Friday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Antwerp	no	no	Friday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Brussels	no	no	Monday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Brussels	no	no	Monday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Brussels	no	no	Tuesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Brussels	no	no	Tuesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Brussels	no	no	Wednesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Brussels	no	no	Wednesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Brussels	no	no	Thursday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Brussels	no	no	Thursday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Brussels	no	no	Friday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Brussels	no	no	Friday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
East-Flanders	no	no	Monday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
East-Flanders	no	no	Monday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
East-Flanders	no	no	Tuesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
East-Flanders	no	no	Tuesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
East-Flanders	no	no	Wednesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
East-Flanders	no	no	Wednesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
East-Flanders	no	no	Thursday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
East-Flanders	no	no	Thursday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
East-Flanders	no	no	Friday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
East-Flanders	no	no	Friday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
West-Flanders	no	no	Monday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
West-Flanders	no	no	Monday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
West-Flanders	no	no	Tuesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
West-Flanders	no	no	Tuesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
West-Flanders	no	no	Wednesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
West-Flanders	no	no	Wednesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
West-Flanders	no	no	Thursday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
West-Flanders	no	no	Thursday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
West-Flanders	no	no	Friday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
West-Flanders	no	no	Friday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Flemish Brabant	no	no	Monday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Flemish Brabant	no	no	Monday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Flemish Brabant	no	no	Tuesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Flemish Brabant	no	no	Tuesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Flemish Brabant	no	no	Wednesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Flemish Brabant	no	no	Wednesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Flemish Brabant	no	no	Thursday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Flemish Brabant	no	no	Thursday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Flemish Brabant	no	no	Friday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Flemish Brabant	no	no	Friday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Limburg	yes	no	Monday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Limburg	yes	no	Monday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Limburg	yes	no	Tuesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Limburg	yes	no	Tuesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Limburg	yes	no	Wednesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Limburg	yes	no	Wednesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Limburg	yes	no	Thursday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Limburg	yes	no	Thursday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Limburg	yes	no	Friday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Limburg	yes	no	Friday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Antwerp	yes	no	Monday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Antwerp	yes	no	Monday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Antwerp	yes	no	Tuesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Antwerp	yes	no	Tuesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Antwerp	yes	no	Wednesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Antwerp	yes	no	Wednesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Antwerp	yes	no	Thursday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Antwerp	yes	no	Thursday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Antwerp	yes	no	Friday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Antwerp	yes	no	Friday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Brussels	yes	no	Monday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Brussels	yes	no	Monday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Brussels	yes	no	Tuesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Brussels	yes	no	Tuesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Brussels	yes	no	Wednesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Brussels	yes	no	Wednesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Brussels	yes	no	Thursday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Brussels	yes	no	Thursday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Brussels	yes	no	Friday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Brussels	yes	no	Friday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
East-Flanders	yes	no	Monday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
East-Flanders	yes	no	Monday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
East-Flanders	yes	no	Tuesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
East-Flanders	yes	no	Tuesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
East-Flanders	yes	no	Wednesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
East-Flanders	yes	no	Wednesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
East-Flanders	yes	no	Thursday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
East-Flanders	yes	no	Thursday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
East-Flanders	yes	no	Friday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
East-Flanders	yes	no	Friday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
West-Flanders	yes	no	Monday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
West-Flanders	yes	no	Monday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
West-Flanders	yes	no	Tuesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
West-Flanders	yes	no	Tuesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
West-Flanders	yes	no	Wednesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
West-Flanders	yes	no	Wednesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
West-Flanders	yes	no	Thursday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
West-Flanders	yes	no	Thursday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
West-Flanders	yes	no	Friday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
West-Flanders	yes	no	Friday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Flemish Brabant	yes	no	Monday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Flemish Brabant	yes	no	Monday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Flemish Brabant	yes	no	Tuesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Flemish Brabant	yes	no	Tuesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Flemish Brabant	yes	no	Wednesday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Flemish Brabant	yes	no	Wednesday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Flemish Brabant	yes	no	Thursday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Flemish Brabant	yes	no	Thursday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Flemish Brabant	yes	no	Friday	morning		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
Flemish Brabant	yes	no	Friday	afternoon		General Practitioner	check website			https://en.doctena.be/General_Practitioner_GP/Belgium
SexBru	no	yes	Tuesday	afternoon	19h - 21h	Alias	Rue du Marché au charbon 33, Brussels	0485 547 278 (Aure)	aure@alias-bru.be	http://www.alias-bru.be/permanence-medicale/
SexAnt	no	yes	Wednesday	afternoon	3/7: 14h30 - 16h30	Boysproject	Appelmansstraat 12, 2018 Antwerp	03 293 95 90	info@boysproject.be	http://www.boysproject.be/en/offer/TESTING
SexAnt	no	yes	Wednesday	afternoon	17/7: 18h - 20h	Boysproject	Appelmansstraat 12, 2018 Antwerp	03 293 95 90	info@boysproject.be	http://www.boysproject.be/en/offer/TESTING
SexAnt	no	yes	Wednesday	afternoon	31/7: 14h30 - 16h30	Boysproject	Appelmansstraat 12, 2018 Antwerp	03 293 95 90	info@boysproject.be	http://www.boysproject.be/en/offer/TESTING
SexAnt	no	yes	Wednesday	afternoon	14/8: 18h - 20h	Boysproject	Appelmansstraat 12, 2018 Antwerp	03 293 95 90	info@boysproject.be	http://www.boysproject.be/en/offer/TESTING
SexAnt	no	yes	Wednesday	afternoon	28/8: 14h30 - 16h30	Boysproject	Appelmansstraat 12, 2018 Antwerp	03 293 95 90	info@boysproject.be	http://www.boysproject.be/en/offer/TESTING
SexAnt	no	yes	Wednesday	afternoon	11/9: 18h - 20h	Boysproject	Appelmansstraat 12, 2018 Antwerp	03 293 95 90	info@boysproject.be	http://www.boysproject.be/en/offer/TESTING
SexAnt	no	yes	Wednesday	afternoon	25/9: 14h30 - 16h30	Boysproject	Appelmansstraat 12, 2018 Antwerp	03 293 95 90	info@boysproject.be	http://www.boysproject.be/en/offer/TESTING
SexAnt	no	yes	Wednesday	afternoon	9/10: 18h - 20h	Boysproject	Appelmansstraat 12, 2018 Antwerp	03 293 95 90	info@boysproject.be	http://www.boysproject.be/en/offer/TESTING
SexAnt	no	yes	Wednesday	afternoon	23/10: 14h30 - 16h30	Boysproject	Appelmansstraat 12, 2018 Antwerp	03 293 95 90	info@boysproject.be	http://www.boysproject.be/en/offer/TESTING
SexOther	no	yes	Monday	afternoon	14h - 16h	Violett	Verversrui 3, 2000 Antwerp	03 293 95 91	dokters.Antwerpen@violett.be	https://www.violett.be/nl/laat-je-testen/
