organisation	address	telephone	email	coords	place	is_anonymous	website_url	appointment_url	extra_info	on_appointment	free
CPF Marolles	Rue de la Roue 21, 1000 Brusselss	02 426 06 27	planningmarolles@hotmail.com	{ "lat": 50.841733, "lng": 4.3457875 }	Brussels	yes	http://planningmarolles.be/index.php/fr/nos-services				
CPF Rosa	Rue du Midi 120, 1000 Brussels	02 546 14 33	planningrosa@fmsb.be	{ "lat": 50.8446316, "lng": 4.3462336 }	Brussels	yes	https://www.planningsfps.be/nos-centres/cpf-bruxelles/				
CPF Saint-Gilles	Avenue du Parc 89, 1060 Brussels	02 537 11 08	saintgilles@planningfamilial.net	{ "lat": 50.825479, "lng": 4.3364458 }	Brussels	yes	https://www.planningfamilialstgilles.be/infos-pratiques				
CPF Saint-Josse	Place Quetelet 4, 1210 Brussels	02 217 44 50	accueil@lafamilleheureuse.be	{ "lat": 50.852568, "lng": 4.3696103 }	Brussels	yes	https://www.planningsaintjosse.com/gynecologie				
CPF Senne	Boulevard de l'Abattoir 27, Brussels	02 548 98 18	planning@tele-service.be	{ "lat": 50.8468013, "lng": 4.3365089 }	Brussels	yes	https://www.cpfsenne.be/spip.php?rubrique13				
CPF Séverine	Raymond Vander Bruggen 84, 1070 Brussels	02 524 33 14	info@planning-severine.org	{ "lat": 50.8382242, "lng": 4.3111654 }	Brussels	yes	https://www.planning-severine.org/nos-services				
CPF Uccle	Rue de Stalle 24, 1180 Brussels	02 376 10 00	cpf.uccle@skynet.be	{ "lat": 50.7997045, "lng": 4.3331991 }	Brussels	yes	https://www.guidesocial.be/planning-uccle/?page=3		Opening hours change frequently. Call for "lat"est update		
CPF Watermael-Boitsfort	Avenue Léopold Wiener 64, 1170 Brussels	02 673 39 34	planningdeboitsfort@gmail.com	{ "lat": 50.8059225, "lng": 4.406272 }	Brussels	yes	http://planningfamilialdeboitsfort.be/Consultations-medicales-2				
CPF Woluwé-Saint-Lambert CCFS	Avenue de Broqueville 270, 1200 Brussels	02 736 41 50	ccfs@skynet.be	{ "lat": 50.8425591, "lng": 4.4232509 }	Brussels	yes	http://www.planning-familial-wsl.be/index.php/infos-generales/horaires/medicales				
CPF Woluwé-St-Pierre	Rue Jean Deraeck 14, 1150 Brussels	02 762 00 67	planningwoluwe@skynet.be	{ "lat": 50.8386762, "lng": 4.4302288 }	Brussels	yes	https://www.guidesocial.be/planningwoluwe/?page=5				
CPF Yser Aimer Jeunes	Rue Saint-Jean Népomucène 28, 1000 Brusselss	02 511 32 20	aimer.jeunes@skynet.be	{ "lat": 50.855707, "lng": 4.3510533 }	Brussels	yes	http://aimer-jeunes.be/?-Accueil-et-consultation-				
Ex Aequo	Steenstraat 29, 1000 Brussels	02 736 28 61	info@exaequo.be	{ "lat": 50.8471267, "lng": 4.3478351 }	Brussels	yes	www.exaequo.be				
Help Centre	Kronenburgstraat 43, 2000 Antwerp	03 216 02 88	helpcenter@itg.be	{ "lat": 51.212166, "lng": 4.3960773 }	Antwerp	yes	https://www.itg.be/E/helpcenter	https://www.itg.be/e/make-an-appointment	Only for men who have sex with men and other risk groups	yes	yes
Action Test	chaussée de Mons, 192, 1070 Brussels		t.kouadio@preventionsida.org	{ "lat": 50.8411538, "lng": 4.3288798 }	Brussels	yes	https://preventionsida.org/fr/ressources/action-test-un-projet-de-depistage-du-vih-et-de-lhepatite-c/		1st and 4th monday of the month. Only subsaharan Africans. Restart in September		
Action Test Siréas	rue du Champ de Mars 5, 1050 Brussels	02.733.72.99		{ "lat": 50.8386435, "lng": 4.3620624 }	Brussels	yes			Only Subsaharan Africans		
UCL Saint-Luc	Hippocrateslaan 10, 1200 Brussels	02 764 19 02		{ "lat": 50.8529013, "lng": 4.4498347 }	Brussels	yes	https://www.saintluc.be/fr/centre-de-prise-en-charge-vih-depistage				
Swab2Know		03 345 57 85	info@swab2know.be		Selftest	yes	https://www.swab2know.eu/BE/e	https://swab2know.eu/BE/E/login/?returnUrl=%2fBE%2fE%2fMyAccount%2f	Hiv self-test kit with saliva. Will be delivered by post. Free. Follow-up by Tropical Institute in Antwerp, Help Center.		
Violett Antwerp	Verversrui 3, 2000 Antwerp	03 293 95 91	dokters.Antwerpen@violett.be	{ "lat": 51.226262, "lng": 4.4033349 }	Antwerp	yes	https://www.violett.be/nl/laat-je-testen/		Sexworkers only		
Violett Gent	Brabantdam 100B, 9000 Ghent	09 233 47 67	dokters.gent@violett.be	{ "lat": 51.049724, "lng": 3.7294227 }	East-Flanders	yes	https://www.violett.be/nl/laat-je-testen/		Sexworkers only		
Violett Hasselt	Ertbeekstraat 34, 3500 Hasselt	011 33 30 58	dokters.hasselt@violett.be	{ "lat": 50.9290863, "lng": 5.3253702 }	Limburg	yes	https://www.violett.be/nl/laat-je-testen/		Sexworkers only		
Alias	Rue du Marché au charbon 33, Brussels	0485 547 278	aure@alias-bru.be	{ "lat": 50.8465989, "lng": 4.3473567 }	Brussels	yes	http://www.alias-bru.be/alias-works-with-men-who-have-sex-with-men-for-money/		Male and trans sexworkers only		
Boysproject	Appelmansstraat 12, 2018 Antwerp	03 293 95 90	info@boysproject.be	{ "lat": 51.2167661, "lng": 4.4150269 }	Antwerp	yes	https://boysproject.be/en/our-offer/		Male and trans sexworkers only		
Espace P	rue des Plantes 116, 1030 Brussels	02 219 98 74	bruxelles@espacep.be	{ "lat": 50.8591985, "lng": 4.3612648 }	Brussels	yes	http://espacep.be/contact/bruxelles/		Sexworkers only		
HRC Virga Jesse	Stadsomvaart 11, 3500 Hasselt	011 33 76 50		{ "lat": 50.9259226, "lng": 5.3424498 }	Limburg	no	https://www.jessazh.be/patienten/raadplegingsgids/volgens-specialisme/raadpleging-infectieziekten-en-immuniteit		Hospital		
